ProductCategory,StockCode,Description,OrderCount,UnitsSold,TotalRevenue,AvgUnitPrice,UniqueCustomers
Bags & Accessories,20713,JUMBO BAG OWLS,411,10466,19076.92,2.02,207
Home Décor,22090,PAPER BUNTING RETROSPOT,567,6879,18791.89,2.9,325
Home Décor,22728,ALARM CLOCK BAKELIKE PINK,613,5074,18569.09,3.79,291
Bags & Accessories,21929,JUMBO BAG PINK VINTAGE PAISLEY,602,9889,18429.98,2.04,308
Bags & Accessories,23206,LUNCH BAG APPLE DESIGN,866,11565,18278.25,1.64,401
Bags & Accessories,20727,LUNCH BAG  BLACK SKULL.,1052,11291,18024.55,1.64,458
Uncategorised,21843,RED RETROSPOT CAKE STAND,421,1809,17929.75,10.86,260
Kitchenware & Dining,22697,GREEN REGENCY TEACUP AND SAUCER,691,6430,17806.34,2.94,387
Christmas & Seasonal,23344,JUMBO BAG 50'S CHRISTMAS ,586,8954,17679.72,2.07,391
Home Décor,82494L,WOODEN FRAME ANTIQUE WHITE ,811,6282,17625.07,2.93,392
Uncategorised,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,458,6481,17604.99,2.93,227
Candles & Lighting,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,305,7907,17592.52,2.61,192
Toys & Games,22467,GUMBALL COAT RACK,570,7688,17580.35,2.5,262
Candles & Lighting,22969,HOMEMADE JAM SCENTED CANDLES,518,12092,17521.6,1.45,429
Uncategorised,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,192,10082,17304.57,1.4,160
Bags & Accessories,20728,LUNCH BAG CARS BLUE,966,10820,17265.68,1.66,479
Kitchenware & Dining,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,239,15940,17226.2,1.24,167
Bags & Accessories,23203,JUMBO BAG DOILEY PATTERNS,454,8737,16741.26,2.05,299
Candles & Lighting,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,221,5655,16570.29,3.45,145
Kitchenware & Dining,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,763,5882,16569.58,2.95,356
Uncategorised,21212,PACK OF 72 RETROSPOT CAKE CASES,1029,33693,16394.53,0.55,635
Bags & Accessories,22384,LUNCH BAG PINK POLKADOT,931,10254,16349.5,1.65,444
Home Décor,22865,HAND WARMER OWL DESIGN,572,8115,16237.63,2.11,375
Uncategorised,15036,ASSORTED COLOURS SILK FAN,324,21876,16044.44,0.81,194
Stationery & Cards,22492,MINI PAINT SET VINTAGE ,325,26076,16039.24,0.66,213
Bags & Accessories,22382,LUNCH BAG SPACEBOY DESIGN ,988,9912,15881.2,1.66,490
Kitchenware & Dining,21485,RETROSPOT HEART HOT WATER BOTTLE,533,3335,15871.73,4.96,371
Uncategorised,21754,HOME BUILDING BLOCK WORD,691,2654,15630.96,6.02,360
Home Décor,85152,HAND OVER THE CHOCOLATE   SIGN ,590,8164,15539.11,2.1,270
Bags & Accessories,20712,JUMBO BAG WOODLAND ANIMALS,492,8187,15511.6,2.04,248
Kitchenware & Dining,22114,HOT WATER BOTTLE TEA AND SYMPATHY,514,3736,15415.22,4.21,325
Bags & Accessories,22383,LUNCH BAG SUKI DESIGN ,899,9601,15384.05,1.65,399
Bags & Accessories,22385,JUMBO BAG SPACEBOY DESIGN,477,8236,15331.02,2.04,247
Uncategorised,15056BL,EDWARDIAN PARASOL BLACK,291,2779,15218.67,5.89,142
Candles & Lighting,84946,ANTIQUE SILVER T-LIGHT GLASS,534,12973,15206.42,1.24,348
Stationery & Cards,22077,6 RIBBONS RUSTIC CHARM,726,8605,14988.59,1.78,413
Uncategorised,22624,IVORY KITCHEN SCALES,620,1783,14788.33,8.58,376
Kitchenware & Dining,22698,PINK REGENCY TEACUP AND SAUCER,556,5343,14769.49,2.94,319
Uncategorised,82483,WOOD 2 DRAWER CABINET WHITE FINISH,509,2341,14689.87,6.73,241
Bags & Accessories,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,451,7757,14632.97,2.06,232
Bags & Accessories,20726,LUNCH BAG WOODLAND,820,9115,14537.11,1.66,372
Uncategorised,22993,SET OF 4 PANTRY JELLY MOULDS,866,11792,14180.17,1.26,431
Kitchenware & Dining,22835,HOT WATER BOTTLE I AM SO POORLY,505,2972,13847.28,4.86,316
Uncategorised,22197,SMALL POPCORN HOLDER,403,18252,13798.72,0.83,228
Uncategorised,84997D,CHILDRENS CUTLERY POLKADOT PINK,323,3530,13796.6,4.17,208
Home Décor,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,472,54415,13586.25,0.29,307
Home Décor,48184,DOORMAT ENGLISH ROSE ,356,1975,13470.95,7.78,227
Uncategorised,22084,PAPER CHAIN KIT EMPIRE,374,4893,13435.15,2.91,277
Uncategorised,84029E,RED WOOLLY HOTTIE WHITE HEART.,321,3707,13430.51,4.05,228
Uncategorised,22847,BREAD BIN DINER STYLE IVORY,341,847,13131.89,16.53,214
Kitchenware & Dining,23356,LOVE HOT WATER BOTTLE,449,2352,13115.4,5.89,316
Bags & Accessories,23200,JUMBO BAG PEARS,470,6733,13043.24,2.07,262
Stationery & Cards,22622,BOX OF VINTAGE ALPHABET BLOCKS,231,1295,13035.66,11.12,174
Uncategorised,84078A,SET/4 WHITE RETRO STORAGE CUBES ,106,357,13007.15,38.87,79
Christmas & Seasonal,23313,VINTAGE CHRISTMAS BUNTING,359,2755,12994.77,4.95,254
Candles & Lighting,23108,SET OF 10 LED DOLLY LIGHTS,351,2194,12985.23,6.15,271
Home Décor,82583,HOT BATHS METAL SIGN,385,6415,12832.14,2.08,206
Candles & Lighting,84978,HANGING HEART JAR T-LIGHT HOLDER,572,10980,12674.72,1.23,304
Kitchenware & Dining,22752,SET 7 BABUSHKA NESTING BOXES,297,1654,12665.29,8.4,188
Uncategorised,22558,CLOTHES PEGS RETROSPOT PACK 24 ,639,8418,12545.38,1.6,363
Uncategorised,23301,GARDENERS KNEELING PAD KEEP CALM ,756,7740,12493.48,1.66,405
Home Décor,22507,MEMO BOARD RETROSPOT  DESIGN,348,2786,12411.02,4.94,230
Uncategorised,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,304,1723,12294.38,8.36,172
Stationery & Cards,22188,BLACK HEART CARD HOLDER,166,4844,12261.9,3.8,123
Home Décor,22866,HAND WARMER SCOTTY DOG DESIGN,471,6118,12248.76,2.09,329
Uncategorised,20750,RED RETROSPOT MINI CASES,365,1712,12216.8,7.75,235
Kitchenware & Dining,22113,GREY HEART HOT WATER BOTTLE,511,3156,12191.15,4.03,337
Kitchenware & Dining,22551,PLASTERS IN TIN SPACEBOY,579,7664,12151.8,1.66,339
Christmas & Seasonal,22941,CHRISTMAS LIGHTS 10 REINDEER,253,1572,12150.0,8.45,205
Uncategorised,20749,ASSORTED COLOUR MINI CASES,365,1719,12123.41,7.79,239
Home Décor,21524,DOORMAT SPOTTY HOME SWEET HOME,405,1662,12095.67,7.96,251
Home Décor,22867,HAND WARMER BIRD DESIGN,474,6001,12081.43,2.11,333
Uncategorised,22083,PAPER CHAIN KIT RETROSPOT,444,4307,12043.21,2.95,294
Bags & Accessories,23207,LUNCH BAG ALPHABET DESIGN,647,7554,12029.06,1.65,377
Bags & Accessories,22379,RECYCLING BAG RETROSPOT ,407,6088,11942.43,2.12,187
Uncategorised,22625,RED KITCHEN SCALES,448,1476,11895.73,8.44,292
Home Décor,22568,FELTCRAFT CUSHION OWL,417,3284,11783.05,3.79,244
Toys & Games,22273,FELTCRAFT DOLL MOLLY,293,4469,11762.99,2.97,211
Home Décor,47590B,PINK HAPPY BIRTHDAY BUNTING,359,2287,11688.15,5.41,238
Uncategorised,23077,DOUGHNUT LIP GLOSS ,308,9662,11640.7,1.24,217
Kitchenware & Dining,22554,PLASTERS IN TIN WOODLAND ANIMALS,587,7307,11637.43,1.65,351
Uncategorised,21977,PACK OF 60 PINK PAISLEY CAKE CASES,669,24264,11629.7,0.55,410
Uncategorised,20971,PINK BLUE FELT CRAFT TRINKET BOX,457,10225,11629.39,1.27,277
Uncategorised,22607,WOODEN ROUNDERS GARDEN SET ,303,1269,11601.14,9.78,224
Home Décor,22191,IVORY DINER WALL CLOCK,391,1426,11587.2,8.46,239
Kitchenware & Dining,23174,REGENCY SUGAR BOWL GREEN,268,2956,11575.54,4.13,190
Uncategorised,22149,FELTCRAFT 6 FLOWER FRIENDS,461,5890,11566.39,2.1,337
Home Décor,48188,DOORMAT WELCOME PUPPIES,252,2028,11544.2,7.91,163
Uncategorised,21755,LOVE BUILDING BLOCK WORD,555,1946,11535.56,6.02,337
Kitchenware & Dining,22427,ENAMEL FLOWER JUG CREAM,441,1995,11444.93,5.91,311
Uncategorised,82486,WOOD S/3 CABINET ANT WHITE FINISH,373,1370,11394.9,8.57,183
Home Décor,22193,RED DINER WALL CLOCK,416,1352,11074.39,8.5,206
Uncategorised,21232,STRAWBERRY CERAMIC TRINKET BOX,507,9328,10895.52,1.24,296
Bags & Accessories,21930,JUMBO STORAGE BAG SKULLS,471,5706,10890.79,2.03,220
Uncategorised,22501,PICNIC BASKET WICKER LARGE,257,1194,10818.9,9.78,187
Home Décor,22570,FELTCRAFT CUSHION RABBIT,324,3018,10694.81,3.74,202
Home Décor,22413,METAL SIGN TAKE IT OR LEAVE IT ,351,3690,10647.3,2.96,228
Stationery & Cards,21790,VINTAGE SNAP CARDS,722,13336,10447.42,0.85,449
Home Décor,47566B,TEA TIME PARTY BUNTING,313,2291,10445.25,4.86,192
Bags & Accessories,21936,RED RETROSPOT PICNIC BAG,385,3758,10371.66,2.95,223
Bags & Accessories,23209,LUNCH BAG VINTAGE DOILY ,538,6452,10370.76,1.65,319
Bags & Accessories,22662,LUNCH BAG DOLLY GIRL DESIGN,598,6545,10360.69,1.66,310
Bags & Accessories,23209,LUNCH BAG DOILEY PATTERN ,464,6482,10331.3,1.64,290
Home Décor,22730,ALARM CLOCK BAKELIKE IVORY,468,2728,10285.61,3.76,241
Home Décor,22087,PAPER BUNTING WHITE LACE,257,3779,10264.05,2.88,155
Uncategorised,85014B,RED RETROSPOT UMBRELLA,303,1846,10247.47,6.09,210
Kitchenware & Dining,21479,WHITE SKULL HOT WATER BOTTLE ,378,2702,10227.72,4.02,252
Home Décor,22617,BAKING SET SPACEBOY DESIGN,424,2153,10210.89,5.04,296
Kitchenware & Dining,23170,REGENCY TEA PLATE ROSES ,328,6575,10190.79,1.66,224
Uncategorised,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,260,928,10161.41,12.19,179
Kitchenware & Dining,22988,SOLDIERS EGG CUP ,327,8821,10150.22,1.26,197
Bags & Accessories,20724,RED RETROSPOT CHARLOTTE BAG,739,12809,10125.85,0.85,335
Home Décor,47590A,BLUE HAPPY BIRTHDAY BUNTING,355,1950,10107.52,5.47,228
Uncategorised,21891,TRADITIONAL WOODEN SKIPPING ROPE,340,7919,10019.47,1.39,264
Bags & Accessories,23208,LUNCH BAG VINTAGE LEAF DESIGN,597,6225,10006.45,1.65,305
Kitchenware & Dining,23300,GARDENERS KNEELING PAD CUP OF TEA ,635,6303,9963.39,1.67,351
Home Décor,22499,WOODEN UNION JACK BUNTING,296,1734,9928.83,5.95,217
Uncategorised,84997C,CHILDRENS CUTLERY POLKADOT BLUE,211,2524,9831.4,4.12,150
Home Décor,48173C,DOORMAT BLACK FLOCK ,173,1787,9822.2,7.75,105
Christmas & Seasonal,23343,JUMBO BAG VINTAGE CHRISTMAS ,385,4908,9748.34,2.08,286
Uncategorised,23076,ICE CREAM SUNDAE LIP GLOSS,248,7920,9668.16,1.24,202
Kitchenware & Dining,22970,LONDON BUS COFFEE MUG,276,4246,9666.3,2.49,180
Kitchenware & Dining,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,732,12313,9656.79,0.84,427
Home Décor,22569,FELTCRAFT CUSHION BUTTERFLY,294,2698,9655.48,3.74,192
Home Décor,22690,DOORMAT HOME SWEET HOME BLUE ,261,1597,9635.89,7.87,198
Uncategorised,84997B,CHILDRENS CUTLERY RETROSPOT RED ,229,2492,9603.68,4.15,157
Candles & Lighting,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,529,15611,9597.71,0.65,318
Uncategorised,22846,BREAD BIN DINER STYLE RED ,249,626,9597.31,16.35,158
Kitchenware & Dining,22556,PLASTERS IN TIN CIRCUS PARADE ,521,5952,9596.96,1.66,305
Home Décor,82600,NO SINGING METAL SIGN,384,4636,9573.6,2.08,207
Uncategorised,22605,WOODEN CROQUET GARDEN SET,240,709,9555.98,14.35,181
Uncategorised,22633,HAND WARMER UNION JACK,441,4746,9550.56,2.08,300
Home Décor,22692,DOORMAT WELCOME TO OUR HOME,338,1378,9468.08,7.92,231
Kitchenware & Dining,22555,PLASTERS IN TIN STRONGMAN,449,5885,9462.29,1.65,294
Uncategorised,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,319,2704,9424.32,3.69,186
Christmas & Seasonal,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,214,1266,9374.7,7.77,170
Home Décor,22766,PHOTO FRAME CORNICE,454,3206,9365.78,2.96,278
Uncategorised,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,278,8273,9339.34,1.25,177
Kitchenware & Dining,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,319,2469,9329.17,4.0,211
Uncategorised,22560,TRADITIONAL MODELLING CLAY,336,8014,9311.47,1.27,229
Kitchenware & Dining,22621,TRADITIONAL KNITTING NANCY,509,5895,9297.87,1.64,366
Kitchenware & Dining,23240,SET OF 4 KNICK KNACK TINS DOILY ,312,2294,9270.5,4.14,230
Uncategorised,21914,BLUE HARMONICA IN BOX ,517,7434,9222.63,1.28,306
Kitchenware & Dining,21481,FAWN BLUE HOT WATER BOTTLE,379,2925,9218.55,3.37,253
Kitchenware & Dining,21217,RED RETROSPOT ROUND CAKE TINS,257,975,9188.25,9.86,167
Kitchenware & Dining,23171,REGENCY TEA PLATE GREEN ,270,5966,9184.9,1.67,195
Uncategorised,22978,PANTRY ROLLING PIN,197,2407,9184.28,3.75,153
Uncategorised,22561,WOODEN SCHOOL COLOURING SET,395,5695,9072.87,1.66,288
Uncategorised,20679,EDWARDIAN PARASOL RED,270,1630,9055.87,5.92,141
Kitchenware & Dining,23175,REGENCY MILK JUG PINK ,272,3066,9008.0,3.2,206
Uncategorised,22992,REVOLVER WOODEN RULER ,285,4917,8950.29,1.96,217
Kitchenware & Dining,22838,3 TIER CAKE TIN RED AND CREAM,136,652,8737.78,14.75,115
Uncategorised,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,426,3716,8734.64,2.56,233
Home Décor,85150,LADIES & GENTLEMEN METAL SIGN,367,3899,8699.13,2.51,196
Uncategorised,84375,SET OF 20 KIDS COOKIE CUTTERS,416,4149,8697.27,2.15,290
Uncategorised,20972,PINK CREAM FELT CRAFT TRINKET BOX ,535,7131,8648.49,1.27,312
Uncategorised,22966,GINGERBREAD MAN COOKIE CUTTER,554,7204,8625.13,1.26,388
Uncategorised,84991,60 TEATIME FAIRY CAKE CASES,657,17689,8618.37,0.55,414
Uncategorised,22619,SET OF 6 SOLDIER SKITTLES,339,2297,8597.5,3.87,250
Home Décor,82582,AREA PATROLLED METAL SIGN,374,4290,8552.22,2.11,176
Bags & Accessories,23582,VINTAGE DOILY JUMBO BAG RED ,234,4447,8535.26,2.07,186
Stationery & Cards,21791,VINTAGE HEADS AND TAILS CARD GAME ,485,7143,8531.41,1.27,342
Bags & Accessories,23581,JUMBO BAG PAISLEY PARK,302,4373,8529.24,2.06,230
Uncategorised,22632,HAND WARMER RED RETROSPOT,341,4274,8526.12,2.09,258
Uncategorised,22424,ENAMEL BREAD BIN CREAM,326,713,8519.0,12.66,189
Home Décor,22041,"RECORD FRAME 7"" SINGLE SIZE ",196,3812,8450.82,2.49,73
Home Décor,22169,FAMILY ALBUM WHITE PICTURE FRAME,286,1075,8416.64,8.39,165
Candles & Lighting,22791,T-LIGHT GLASS FLUTED ANTIQUE,260,7336,8378.89,1.23,184
Uncategorised,22776,SWEETHEART CAKESTAND 3 TIER,326,892,8376.6,9.83,252
Home Décor,21174,POTTERING IN THE SHED METAL SIGN,371,3926,8372.7,2.07,225
Uncategorised,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",241,1841,8354.87,4.9,150
Stationery & Cards,23318,BOX OF 6 MINI VINTAGE CRACKERS,329,3647,8350.41,2.46,270
Home Décor,22989,SET 2 PANTRY DESIGN TEA TOWELS,311,2697,8323.17,3.23,241
Uncategorised,22147,FELTCRAFT BUTTERFLY HEARTS,436,6127,8314.55,1.46,287
Stationery & Cards,22759,SET OF 3 NOTEBOOKS IN PARCEL,319,5207,8283.75,1.69,253
Candles & Lighting,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,306,10279,8269.45,0.85,208
Uncategorised,23319,BOX OF 6 MINI 50'S CRACKERS,365,3539,8216.79,2.46,300
Uncategorised,23322,LARGE WHITE HEART OF WICKER,511,2908,8184.7,2.95,350
Candles & Lighting,71459,HANGING JAM JAR T-LIGHT HOLDER,310,10528,8164.12,0.83,193
Uncategorised,22158,3 HEARTS HANGING DECORATION RUSTIC,261,2895,8161.21,2.98,196
Candles & Lighting,23082,SET 6 PAPER TABLE LANTERN HEARTS ,263,2265,8129.43,3.72,205
Stationery & Cards,22655,VINTAGE RED KITCHEN CABINET,38,60,8125.0,143.42,34
Stationery & Cards,23078,ICE CREAM PEN LIP GLOSS ,213,6607,8077.31,1.25,159
Toys & Games,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,401,2223,8071.51,3.75,275
Home Décor,48116,DOORMAT MULTICOLOUR STRIPE,141,1419,8053.22,7.7,88
Christmas & Seasonal,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,329,2843,8051.83,2.89,278
Home Décor,22729,ALARM CLOCK BAKELIKE ORANGE,359,2182,7995.63,3.77,179
Uncategorised,23256,CHILDRENS CUTLERY SPACEBOY ,316,1982,7974.38,4.15,225
Uncategorised,23080,RED METAL BOX TOP SECRET,221,1003,7962.03,8.36,148
Uncategorised,22667,RECIPE BOX RETROSPOT ,441,2870,7952.9,2.92,233
Uncategorised,21210,SET OF 72 RETROSPOT PAPER  DOILIES,365,5680,7947.37,1.46,244
Candles & Lighting,21121,SET/10 RED POLKADOT PARTY CANDLES,336,6502,7799.18,1.25,238
Uncategorised,22652,TRAVEL SEWING KIT,394,4864,7787.36,1.66,263
Candles & Lighting,72741,GRAND CHOCOLATECANDLE,249,5801,7785.05,1.43,195
Uncategorised,22502,PICNIC BASKET WICKER SMALL,232,1427,7746.7,5.81,175
Uncategorised,84378,SET OF 3 HEART COOKIE CUTTERS,521,6019,7741.84,1.33,376
Christmas & Seasonal,22940,FELTCRAFT CHRISTMAS FAIRY,302,1896,7722.68,4.35,240
Bags & Accessories,20711,JUMBO BAG TOYS ,245,4198,7689.28,2.01,152
Uncategorised,35970,ZINC FOLKART SLEIGH BELLS,339,4647,7665.11,1.74,270
Uncategorised,23439,HAND WARMER RED LOVE HEART,371,3762,7660.2,2.09,268
Home Décor,22768,FAMILY PHOTO FRAME CORNICE,233,837,7646.84,9.91,184
Home Décor,22192,BLUE DINER WALL CLOCK,338,907,7528.93,8.48,179
Kitchenware & Dining,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,281,2067,7510.29,3.72,195
Uncategorised,21136,PAINTED METAL PEARS ASSORTED,352,4476,7491.4,1.69,259
Christmas & Seasonal,22952,60 CAKE CASES VINTAGE CHRISTMAS,466,14735,7417.85,0.54,342
Uncategorised,21314,SMALL GLASS HEART TRINKET POT,342,3670,7412.56,2.09,215
Kitchenware & Dining,22557,PLASTERS IN TIN VINTAGE PAISLEY ,480,4573,7346.69,1.68,315
Home Décor,21770,OPEN CLOSED METAL SIGN,341,1577,7311.36,4.94,263
Bags & Accessories,20719,WOODLAND CHARLOTTE BAG,531,9237,7277.24,0.85,238
Uncategorised,22616,PACK OF 12 LONDON TISSUES ,382,25345,7266.71,0.33,195
Uncategorised,21889,WOODEN BOX OF DOMINOES,449,5778,7215.95,1.28,336
Uncategorised,22900, SET 2 TEA TOWELS I LOVE LONDON ,192,2627,7208.95,3.03,131
Home Décor,21908,CHOCOLATE THIS WAY METAL SIGN,374,3635,7208.52,2.14,220
Candles & Lighting,84949,SILVER HANGING T-LIGHT HOLDER,250,4665,7193.25,1.63,165
Kitchenware & Dining,23238,SET OF 4 KNICK KNACK TINS LONDON ,233,1788,7170.6,4.13,150
Toys & Games,22750,FELTCRAFT PRINCESS LOLA DOLL,378,1964,7166.94,3.77,247
Stationery & Cards,22585,PACK OF 6 BIRDY GIFT TAGS,319,6062,7149.7,1.26,241
Bags & Accessories,22355,CHARLOTTE BAG SUKI DESIGN,585,8975,7138.65,0.85,249
Kitchenware & Dining,23240,SET OF 4 KNICK KNACK TINS DOILEY ,172,1803,7136.85,4.12,142
Christmas & Seasonal,22144,CHRISTMAS CRAFT LITTLE FRIENDS,421,3468,7128.1,2.15,319
Kitchenware & Dining,84406B,CREAM CUPID HEARTS COAT HANGER,241,1918,7125.38,3.82,133
Uncategorised,84836,ZINC METAL HEART DECORATION,476,5757,7108.68,1.26,311
Uncategorised,22795,SWEETHEART RECIPE BOOK STAND,287,1099,7084.65,6.69,170
